"Theatre_Name","Theatre_Address","Movie_Name","Show_Date","Location_or_Zipcode","Duration","Genre","Movie_Rating","Star_Rating"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","I Feel Pretty","2018-04-22","Chapel Hill, NC","110","Comedy","PG13","3"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Super Troopers 2","2018-04-22","Chapel Hill, NC","99","Comedy","R","4"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","You Were Never Really Here","2018-04-22","Chapel Hill, NC","89","Drama,Suspense/Thriller","R","3.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Blumhouse's Truth or Dare (2018)","2018-04-22","Chapel Hill, NC","100","Horror,Suspense/Thriller","PG13","4"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Isle of Dogs","2018-04-22","Chapel Hill, NC","101","Action/Adventure,Animated,Comedy,Sci-Fi/Fantasy","PG13","4.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Rampage (2018)","2018-04-22","Chapel Hill, NC","107","Action/Adventure,Sci-Fi/Fantasy","PG13","4.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Beirut","2018-04-22","Chapel Hill, NC","109","Drama,Suspense/Thriller","R","3.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","A Quiet Place","2018-04-22","Chapel Hill, NC","90","Horror,Suspense/Thriller","PG13","4.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Blockers","2018-04-22","Chapel Hill, NC","102","Comedy","R","4.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Chappaquiddick","2018-04-22","Chapel Hill, NC","101","Drama,Suspense/Thriller","PG13","4"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Gemini (2018)","2018-04-22","Chapel Hill, NC","93","Suspense/Thriller","R","3"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Ready Player One","2018-04-22","Chapel Hill, NC","140","Action/Adventure,Sci-Fi/Fantasy","PG13","4.5"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Final Portrait","2018-04-22","Chapel Hill, NC","90","Drama","R","3"
"Silverspot Cinema Chapel Hill 13","201 S Estes Dr Ste 100 Chapel Hill NC 27514","Black Panther","2018-04-22","Chapel Hill, NC","134","Action/Adventure,Sci-Fi/Fantasy","PG13","5"
